file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
gcd, m65, t150, w2, 26776, 655, 21797, 0.769231, 1495, 19, a5, 110001
add, m12, t100, w2, 1110, 294, 291, 0.900000, 583, 13, a5, 101111
factorial, m31, t100, w2, 26808, 276, 25535, 0.967742, 403, 18, a3, 111011
genPassword, m49, t100, w2, 11460, 304, 6989, 1.078947, 398, 63, a2, 001101
factorial, m31, t100, w2, 26727, 302, 25254, 1.363636, 403, 18, a4, 101110
gcd, m65, t150, w2, 24661, 679, 21584, 0.769231, 1495, 19, a2, 010010
genPassword, m49, t100, w2, 11222, 292, 6770, 0.836735, 398, 63, a2, 110001
add, m20, t999, w2, 850771432, 14785, 4468, 0.900000, 583, 13, a5, 100000
genPassword, m49, t100, w2, 11321, 350, 6818, 1.078947, 398, 63, a2, 011101
genPassword, m49, t100, w2, 11580, 373, 6934, 1.108108, 398, 63, a2, 011100
