file name, mutants, tests, cores, compilation time, original time, mutants time, total time, time per mutant, mutation score, ts size, lines, algorithm, optimizations
massive, m49, t60, w2, 1925, 111824, 346502, 460303, 7071.4694, 0.9388, 169, 13, a2, 011001
add, m12, t100, w8, 594, 250, 67, 994, 5.5833, 0.9167, 583, 13, a4, 000101
quickSort, m127, t50, w4, 13260, 49, 31001, 44422, 244.1024, 0.9528, 1900, 56, a3, 110000
massive, m49, t60, w4, 646, 114262, 61661, 176611, 1258.3878, 1.0, 169, 13, a5, 010010
anagram, m60, t100, w4, 1034, 100, 5002, 6540, 83.3667, 0.9286, 1370, 37, a3, 101110
primes, m68, t100, w8, 3354, 40, 891, 4615, 13.1029, 0.8793, 398, 30, a3, 101100
minProd, m181, t50, w2, 6701, 163, 16305, 23245, 90.0829, 0.7845, 1946, 72, a5, 110011
mergeSort, m226, t50, w2, 10064, 163, 68026, 78343, 301, 0.9336, 1900, 129, a4, 000011
insertSort, m108, t50, w4, 7217, 50, 12357, 20295, 114.4167, 0.9444, 1900, 40, a3, 110100
huffmanCodingEff, m199, t50, w4, 9929, 51, 13885, 24023, 69.7739, 0.8191, 1874, 239, a3, 100011
maxArrSumNeg, m112, t50, w4, 2627, 50, 25132, 27889, 224.3929, 0.9107, 1910, 63, a3, 100011
minProd, m181, t50, w8, 4484, 140, 5034, 10537, 27.8122, 0.8659, 1946, 72, a2, 001110
genPassword, m49, t100, w8, 2903, 275, 784, 4069, 16, 0.7895, 398, 63, a5, 000101
factorial, m31, t100, w8, 1460, 40, 5075, 6635, 163.7097, 0.9677, 403, 18, a3, 110000
huffmanCodingEff, m199, t50, w2, 29904, 166, 32654, 63440, 164.0905, 0.8027, 1874, 239, a5, 001101
transpose, m149, t50, w4, 11935, 152, 20707, 33042, 138.9732, 0.9054, 903, 40, a3, 010101
huffmanCodingEff, m199, t50, w8, 10719, 22, 6001, 17752, 30.1558, 0.849, 1874, 239, a3, 100110
maxArrSumNeg, m112, t50, w8, 7726, 145, 62939, 70886, 561.9554, 0.9107, 1910, 63, a4, 000001
transpose, m149, t50, w2, 11933, 158, 62063, 75093, 416.5302, 0.8993, 903, 40, a4, 001100
quickSort, m127, t50, w8, 13913, 20, 15007, 29055, 118.1654, 0.9528, 1900, 56, a3, 100001
mergeSort, m226, t50, w2, 10243, 161, 68331, 78828, 302.3496, 0.9336, 1900, 129, a3, 001010
huffmanCodingEff, m199, t50, w8, 10262, 21, 6085, 16529, 30.5779, 0.8191, 1874, 239, a5, 100010
add, m12, t100, w2, 619, 321, 356, 1346, 29.6667, 0.9167, 583, 13, a3, 100000
genPassword, m49, t100, w2, 1512, 315, 5583, 7477, 113.9388, 0.8367, 398, 63, a4, 101011
minProd, m181, t50, w8, 4478, 21, 9167, 13745, 50.6464, 0.7845, 1946, 72, a4, 110010
squareMatrix, m182, t50, w4, 14316, 47, 23081, 37719, 126.8187, 1.0, 903, 72, a3, 110101
genPassword, m49, t100, w2, 1502, 326, 5544, 7439, 113.1429, 0.8367, 398, 63, a2, 101011
quickSort, m127, t50, w2, 13261, 162, 81925, 95878, 645.0787, 0.9528, 1900, 56, a4, 101101
minProd, m181, t50, w8, 13527, 21, 5029, 18741, 27.7845, 0.8659, 1946, 72, a2, 110101
massive, m49, t60, w2, 981, 109976, 344334, 455495, 7027.2245, 0.9388, 169, 13, a2, 011111
huffmanCoding, m314, t50, w4, 17922, 161, 34077, 53954, 108.5255, 0.9279, 1874, 318, a3, 001110
factorial, m31, t100, w4, 1556, 97, 7031, 8746, 226.8065, 0.9677, 403, 18, a2, 111000
quickSort, m127, t50, w4, 13311, 48, 31008, 44484, 244.1575, 0.9528, 1900, 56, a2, 101001
insertSort, m108, t50, w8, 2397, 151, 10005, 12676, 92.6389, 0.92, 1900, 40, a5, 001111
longestIncrease, m114, t50, w8, 10086, 2210, 24730, 37565, 216.9298, 0.9196, 1946, 70, a3, 101100
minProd, m181, t50, w2, 13351, 160, 15807, 29967, 87.3315, 0.8659, 1946, 72, a4, 000101
longestIncrease, m114, t50, w2, 4880, 9897, 104739, 120028, 918.7632, 0.8889, 1946, 70, a5, 101111
selectSort, m92, t50, w4, 1998, 52, 38997, 41262, 423.8804, 0.9101, 1900, 45, a4, 110111
selectSort, m92, t50, w2, 3090, 162, 40113, 43434, 436.0109, 0.8804, 1900, 45, a3, 101011
insertSort, m108, t50, w4, 2366, 153, 12339, 14933, 114.25, 0.9444, 1900, 40, a2, 010011
factorial, m31, t100, w8, 1472, 43, 19188, 20800, 618.9677, 0.9677, 403, 18, a4, 100101
dictionaryOrder, m71, t100, w8, 3461, 40, 10003, 13870, 140.8873, 0.8864, 8248, 32, a5, 101100
primes, m68, t100, w4, 3567, 283, 2532, 6824, 37.2353, 0.8793, 398, 30, a3, 000100
dictionaryOrder, m71, t100, w8, 3492, 300, 5002, 8862, 70.4507, 0.8873, 8248, 32, a2, 001001
squareMatrix, m182, t50, w2, 14135, 158, 68855, 84242, 378.3242, 1.0, 903, 72, a2, 011100
bubbleSort, m113, t50, w4, 2484, 49, 96051, 98651, 850.0088, 0.8938, 1900, 41, a4, 110011
mergeSort, m226, t50, w8, 21669, 126, 10615, 32624, 46.969, 0.9336, 1900, 129, a2, 001101
parg, m2509, t52, w8, 548652, 90, 818, 550158, 0.326, 1.0, 418, 2518, a3, 000001
insertSort, m108, t50, w4, 7110, 152, 12323, 20255, 114.1019, 0.9444, 1900, 40, a3, 011100
anagram, m60, t100, w2, 3236, 316, 7975, 11794, 132.9167, 0.8667, 1370, 37, a4, 101101
factorial, m31, t100, w8, 504, 40, 15006, 15644, 484.0645, 0.9677, 403, 18, a4, 101111
anagram, m60, t100, w4, 1024, 295, 6560, 7934, 109.3333, 0.8667, 1370, 37, a4, 001011
